#timestamp x y z qx qy qz qw depth velocity distance_status velocity_status exposure gain
1.40363659536356e+18 -0 0 -0 0 0 0 1 0 0 0 2 2376 9
1.40363659541356e+18 -0.0190776164 0.00869339981 -0.0091712167 -0.00159203584 -0.007880523 -0.00257726356 0.99996436 0.531340361 4.57665578e-07 1 1 2376 9
1.40363659546356e+18 -0.0321351039 0.0180740133 -0.0186411122 -0.00332274619 -0.0132573039 -0.0044164389 0.999896844 0.511487246 3.70842628e-07 1 1 2376 9
1.40363659551356e+18 -0.0382915666 0.0269344546 -0.03217412 -0.00570892341 -0.0155731984 -0.00520018669 0.999848909 0.496421009 3.29972124e-07 1 1 2376 9
1.40363659556356e+18 -0.0375742395 0.0375253053 -0.0453566957 -0.00805695246 -0.0174165172 -0.00687530757 0.999792219 0.519368827 3.38598795e-07 1 1 2376 9
1.40363659561356e+18 -0.0298369801 0.0481233257 -0.0595068689 -0.0101716894 -0.0167680867 -0.00702133284 0.999783011 0.500432253 3.91474202e-07 1 1 2376 9
1.40363659566356e+18 -0.0171152226 0.0588712092 -0.0737011296 -0.0123419194 -0.0128704882 -0.00703054442 0.999816283 0.51440537 4.40221271e-07 1 1 2376 9
1.40363659571356e+18 0.00123702478 0.0696043088 -0.0881577704 -0.0132870294 -0.00584691122 -0.00489266371 0.999882658 0.522932529 5.24630195e-07 1 1 2376 9
1.40363659576356e+18 0.0233131858 0.0796674634 -0.100836661 -0.0144397185 0.00412990688 -0.00390817233 0.999879575 0.531909466 5.63708227e-07 1 1 2376 9
1.40363659581356e+18 0.0488004291 0.0901700688 -0.113995783 -0.0139905526 0.0185650096 -0.000739650485 0.999729492 0.550684631 6.1092436e-07 1 1 2376 9
1.40363659586356e+18 0.074308731 0.100336085 -0.126945859 -0.0136967013 0.0340061029 0.00337878272 0.999322055 0.506566703 6.26417943e-07 1 1 2376 9
1.40363659591356e+18 0.102620524 0.111036117 -0.139756702 -0.0134045819 0.0484988175 0.00971955975 0.998685993 0.514923751 6.57319163e-07 1 1 2376 9
1.40363659596356e+18 0.12690967 0.121286201 -0.150900906 -0.0136948258 0.0640937931 0.0162403697 0.99771774 0.47068873 6.02792738e-07 1 1 2376 9
1.40363659601356e+18 0.149256648 0.131496931 -0.16517638 -0.0158729415 0.0791559146 0.0223553015 0.996485139 0.425611794 5.68309645e-07 1 1 2376 9
1.40363659606356e+18 0.167925944 0.141985543 -0.179531395 -0.0180039007 0.0932511256 0.0295661344 0.995040668 0.489489347 5.15603176e-07 1 1 2376 9
1.40363659611356e+18 0.180761582 0.152653068 -0.193606612 -0.0200813 0.105301721 0.0362392548 0.993576874 0.452664465 4.37604797e-07 1 1 2376 9
1.40363659616356e+18 0.186895859 0.161687493 -0.209347445 -0.0212871382 0.113157591 0.0430076801 0.992417532 0.524730623 3.83156447e-07 1 1 2376 9
1.40363659621356e+18 0.185908081 0.170097109 -0.222948982 -0.0206365041 0.118063471 0.0477373173 0.991643232 0.473986864 3.18238932e-07 1 1 2376 9
1.40363659626356e+18 0.177581337 0.177058699 -0.237776199 -0.0193803566 0.119864253 0.0522861694 0.991223042 0.470350742 3.67501258e-07 1 1 2376 9
1.40363659631356e+18 0.162906128 0.182798118 -0.252080979 -0.0172163667 0.12098989 0.0552800572 0.990963752 0.515464902 4.25643833e-07 1 1 2376 9
1.40363659636356e+18 0.145101181 0.188964185 -0.268323542 -0.0148416829 0.121777582 0.0562418508 0.990851552 0.520587444 4.97535552e-07 1 1 2376 9
1.40363659641356e+18 0.122916461 0.193950767 -0.285494273 -0.0127459731 0.122989675 0.0550817161 0.990796187 0.530199111 5.65599919e-07 1 1 2376 9
1.40363659646356e+18 0.100193559 0.19991447 -0.301156722 -0.0100680814 0.123122628 0.0523474557 0.990958726 0.579778016 5.64696109e-07 1 1 2376 9
1.40363659651356e+18 0.0786046886 0.205643093 -0.31626997 -0.00762999637 0.12214924 0.0487470628 0.991284556 0.604955137 5.39373843e-07 1 1 2376 9
1.40363659656356e+18 0.0577114868 0.210629716 -0.329992049 -0.00588473175 0.121149459 0.0450881902 0.991592272 0.6618132 5.09778147e-07 1 1 2376 9
1.40363659661356e+18 0.0397535291 0.215439572 -0.34034997 -0.00598364452 0.121297626 0.0430958195 0.991662156 0.640276492 4.25634482e-07 1 1 2376 9
1.40363659666356e+18 0.0231855177 0.21901143 -0.348646296 -0.00723216421 0.121468736 0.0422851911 0.991667789 0.614067495 3.77403921e-07 1 1 2376 9
1.40363659671356e+18 0.0118215123 0.221809518 -0.353253475 -0.00844194094 0.120348337 0.0415973137 0.991823913 0.613396525 2.64554984e-07 1 1 2376 9
1.40363659676356e+18 0.00429381225 0.223169446 -0.353830353 -0.00831793189 0.119455287 0.0385385803 0.992056462 0.586197019 1.53425106e-07 1 1 2376 9
1.40363659681356e+18 0.00165376034 0.221645908 -0.350406045 -0.00613242045 0.119208265 0.0369594281 0.992162176 0.608766317 9.16886762e-08 1 1 2376 9
1.40363659686356e+18 0.00286954927 0.217929423 -0.342615863 -0.00334530487 0.119903022 0.0331959825 0.992224824 0.683423817 1.743295e-07 1 1 2376 9
1.40363659691356e+18 0.00731516668 0.210894118 -0.331144888 -0.00104026941 0.121093448 0.0310424633 0.992155058 0.64793539 2.83438396e-07 1 1 2376 9
1.40363659696356e+18 0.0152423894 0.201844935 -0.315272575 -0.00110540963 0.12275857 0.0275055243 0.992054715 0.689397097 3.98324858e-07 1 1 2376 9
1.40363659701356e+18 0.0255694699 0.189993621 -0.296084304 -0.00342828107 0.123561116 0.0277337466 0.991943414 0.646770537 4.96102814e-07 1 1 2376 9
1.40363659706356e+18 0.0374127626 0.17660191 -0.274629357 -0.00922932001 0.123496372 0.0271402474 0.991930881 0.57430619 5.58538147e-07 1 1 2376 9
1.40363659711356e+18 0.0499575229 0.161719048 -0.251396772 -0.0150119786 0.120617447 0.0273641211 0.992208283 0.575211644 6.06177593e-07 1 1 2376 9
1.40363659716356e+18 0.0627652953 0.145553715 -0.227047272 -0.020087336 0.116106284 0.0258130169 0.9926981 0.564706385 6.38200561e-07 1 1 2376 9
1.40363659721356e+18 0.0755100538 0.126480778 -0.202681821 -0.0234986655 0.110190237 0.0230002513 0.993366454 0.539576471 6.73149486e-07 1 1 2376 9
1.40363659726356e+18 0.0877789584 0.105572367 -0.176584777 -0.0242305481 0.103676068 0.0190763673 0.994132912 0.538989842 7.12386566e-07 1 1 2376 9
1.40363659731356e+18 0.0991021685 0.0854097314 -0.151818877 -0.0227400767 0.0973198313 0.0140535673 0.994894083 0.552155077 6.72203953e-07 1 1 2376 9
1.40363659736356e+18 0.108575673 0.0635389361 -0.127399877 -0.0208092672 0.089353301 0.00959351325 0.995736374 0.539578259 6.87572765e-07 1 1 2376 9
1.40363659741356e+18 0.117131827 0.0435468613 -0.101249507 -0.0188885246 0.0830836178 0.00325152317 0.996358251 0.515334845 6.64389063e-07 1 1 2376 9
1.40363659746356e+18 0.123231685 0.0244944872 -0.0778957242 -0.0170095283 0.0750135648 -0.00211518742 0.997035188 0.504999042 6.1501072e-07 1 1 2376 9
1.40363659751356e+18 0.126719427 0.00781649067 -0.0570830859 -0.015476349 0.0661972226 -0.0094322042 0.997641942 0.506963193 5.37955145e-07 1 1 2376 9
1.40363659756356e+18 0.12618792 -0.00569907642 -0.0381855306 -0.0126553102 0.0558476714 -0.0135850435 0.998266661 0.480333835 4.64787206e-07 1 1 2376 9
1.40363659761356e+18 0.122002519 -0.0147608292 -0.0238053545 -0.00872116957 0.04448967 -0.0175906847 0.998816889 0.457929462 3.66904601e-07 1 1 2376 9
1.40363659766356e+18 0.114798805 -0.0210074984 -0.0135103867 -0.00433302095 0.0322996216 -0.0203488134 0.99926167 0.517546058 2.80641899e-07 1 1 2376 9
1.40363659771356e+18 0.104961544 -0.0233831937 -0.00817503087 0.00010566665 0.0210927995 -0.0234103395 0.999503396 0.514727116 2.28807622e-07 1 1 2376 9
1.40363659776356e+18 0.0927362521 -0.0216498317 -0.0067979744 0.0043442162 0.0123493951 -0.0269141921 0.999552023 0.600673616 2.48481598e-07 1 1 2376 9
1.40363659781356e+18 0.0800129315 -0.0178898554 -0.00976866389 0.00814974867 0.00512644035 -0.0298268219 0.99950871 0.54356426 2.71916321e-07 1 1 2376 9
1.40363659786356e+18 0.0680153614 -0.0103925173 -0.0169175941 0.0107849705 0.000787273601 -0.0340161349 0.999362781 0.556462407 3.14033912e-07 1 1 2376 9
1.40363659791356e+18 0.0566603732 -0.000639450656 -0.027722501 0.0122983974 -0.00324158094 -0.0390149976 0.999157681 0.560776234 3.69218526e-07 1 1 2376 9
1.40363659796356e+18 0.0470218375 0.0110638477 -0.0406414036 0.011561802 -0.00537348598 -0.043502858 0.998971947 0.571240485 3.98378944e-07 1 1 2376 9
1.40363659801356e+18 0.0381460779 0.0240349596 -0.0558202474 0.00902572479 -0.00669333662 -0.0467688105 0.998842537 0.55429858 4.37002768e-07 1 1 2376 9
1.40363659806356e+18 0.0316452102 0.0389313161 -0.0711691446 0.0056132748 -0.00755256077 -0.0475341356 0.998825288 0.560151279 4.47101201e-07 1 1 2376 9
1.40363659811356e+18 0.0263768504 0.0540759892 -0.0890192563 -0.000483122669 -0.00829063819 -0.0464726993 0.998885038 0.540312052 4.69088178e-07 1 1 2376 9
1.40363659816356e+18 0.0223782866 0.0703852873 -0.104319539 -0.00809415964 -0.00624933838 -0.0464026387 0.998870475 0.540460527 4.54346861e-07 1 1 2376 9
1.40363659821356e+18 0.0216136604 0.0861872269 -0.117825052 -0.0177171076 -0.00408464588 -0.0454733775 0.998800076 0.538442492 4.29802441e-07 1 1 2376 9
1.40363659826356e+18 0.0219016349 0.101012952 -0.128308935 -0.0277305249 -0.000775626814 -0.0466903546 0.998524124 0.506649494 3.6320526e-07 1 1 2376 9
1.40363659831356e+18 0.0246899139 0.115067627 -0.13592188 -0.0347097176 0.00239429873 -0.0466516247 0.998305128 0.496652782 3.21637401e-07 1 1 2376 9
1.40363659836356e+18 0.0289708405 0.125762407 -0.139611238 -0.0397623643 0.0072471007 -0.0479535455 0.998031508 0.487326026 2.41921697e-07 1 1 2376 9
1.40363659841356e+18 0.0341748861 0.134017243 -0.138766834 -0.0421007972 0.0121380473 -0.0484401701 0.99786459 0.480726659 1.95895794e-07 1 1 2376 9
1.40363659846356e+18 0.0419596086 0.140346958 -0.134023437 -0.0410830268 0.0138785032 -0.0489623581 0.997858837 0.469340295 2.06388791e-07 1 1 2376 9
1.40363659851356e+18 0.0488801329 0.142449025 -0.12547563 -0.0383108964 0.0146815791 -0.0494858828 0.997931798 0.434598774 2.23944582e-07 1 1 2376 9
